data;time
34856.7944037997;3.4.12 5:00
32809.4847338614;3.4.12 6:00
32535.2899288292;3.4.12 7:00
32574.4624538887;3.4.12 8:00
33475.6145815838;3.4.12 9:00
36563.3157827844;3.4.12 10:00
39380.6608560755;3.4.12 11:00
40186.1350034367;3.4.12 12:00
40507.952571311;3.4.12 13:00
40633.1475007076;3.4.12 14:00
41223.5656372261;3.4.12 15:00
41258.3492640983;3.4.12 16:00
42188.4681197914;3.4.12 17:00
44178.0669962407;3.4.12 18:00
42794.3587311881;3.4.12 19:00
39551.5131968991;3.4.12 20:00
34735.6865547262;3.4.12 21:00
32664.6768346134;3.4.12 22:00
29977.4658099708;3.4.12 23:00
29809.4823409057;3.5.12 0:00
29205.2423927029;3.5.12 1:00
30529.4843050013;3.5.12 2:00
33370.52942846;3.5.12 3:00
37165.7210163509;3.5.12 4:00
36111.1801148396;3.5.12 5:00
33651.314015938;3.5.12 6:00
32833.7736161648;3.5.12 7:00
32813.25712597;3.5.12 8:00
34700.1557849966;3.5.12 9:00
37471.8563172041;3.5.12 10:00
40362.0571002909;3.5.12 11:00
42238.4224036844;3.5.12 12:00
40997.7922193147;3.5.12 13:00
42451.9455177548;3.5.12 14:00
42089.0949694772;3.5.12 15:00
43257.9698861804;3.5.12 16:00
44124.0108284388;3.5.12 17:00
45094.5075473852;3.5.12 18:00
45770.0703086047;3.5.12 19:00
40381.0535640705;3.5.12 20:00
35416.0043837619;3.5.12 21:00
33220.349955324;3.5.12 22:00
30874.5952091212;3.5.12 23:00
31038.412442499;3.6.12 0:00
30749.2953836532;3.6.12 1:00
32135.8596501141;3.6.12 2:00
34672.3152398489;3.6.12 3:00
38902.0077476054;3.6.12 4:00
37616.6108018019;3.6.12 5:00
35541.2121835086;3.6.12 6:00
35080.0503159888;3.6.12 7:00
34451.2325379822;3.6.12 8:00
36356.5645693668;3.6.12 9:00
38675.3308093507;3.6.12 10:00
42155.3995078914;3.6.12 11:00
41791.6711799778;3.6.12 12:00
42258.3223878073;3.6.12 13:00
42391.4173339287;3.6.12 14:00
42442.0009942505;3.6.12 15:00
42309.1287106292;3.6.12 16:00
42156.0674953845;3.6.12 17:00
43371.4647328006;3.6.12 18:00
42745.2802936955;3.6.12 19:00
39540.1792837585;3.6.12 20:00
35614.421192583;3.6.12 21:00
33338.0110376246;3.6.12 22:00
31249.4457247968;3.6.12 23:00
30285.3161257962;3.7.12 0:00
30643.1226587503;3.7.12 1:00
32094.6426182821;3.7.12 2:00
34723.2650698065;3.7.12 3:00
39496.3031723041;3.7.12 4:00
38138.0505167049;3.7.12 5:00
36868.4536043442;3.7.12 6:00
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
